artist_name,artist_country
JK,United States
Bobby Broom,United States
Cadacross,Finland
Kristine W.,United States
Lou Reid & Carolina,United States
Blind Boy Fuller,United States
Fuzz,United States
Music Explosion,United States
Tyrone Davis,United States
Lifehouse,United States
Diamanda Galas,United States
Attack Attack,United States
The Summer Obsession,United States
Wednesday 13,United States
Dave Weckl,United States
Eighteen Visions,United States
Loudon Wainwright III,United States
Jerry Lewis,United States
The Waybacks,United States
Rah Digga (Featuring Outsidaz),United States
Open Hand,United States
Kate Maki,United States
Graham Central Station,United States
Gail Davies,United States
Del Tha Funkee Homosapien,United States
Tommy Castro,United States
Carl Davis,United States
The Mighty Clouds Of Joy,United States
Gerald Veasley,United States
Sub Swara,United States
Cancer Bats,Canada
Daniel Paul,United States
D.R.S.,United States
Emit,United States
David Palmer,United Kingdom
The Funeral Pyre,United States
Dominic,United States
Livingston Taylor,United States
Billy Butler,United States
Månegarm,Sweden
Al Di Meola,United States
The Color Red,United States
Dale Hawkins,United States
Leroy Hutson,United States
Tunsi,United States
Dolce; Orange Factory,United States
Shakedown,United States
Annie Minogue Band,United States
Enuff Z Nuff,United States
Hank Penny,United States
Vonray,United States
Constance Demby,United States
The Creation,United Kingdom
No Address,United States
Rob Mullins,United States
Arsonists Get All The Girls,United States
Liars,United States
Ana Popovic,Serbia
The Sterns,United States
Miossec,France
Tommy Makem;The Clancy Brothers,United States
Jazz Gillum,United States
AFS,United Kingdom
Sugar Ray,United States
Julien Clerc,France
JERRY WALLACE,United States
Edgar De L'est,France
Annie Lennox,United Kingdom
Drop Dead_ Gorgeous,United States
The Cure,United Kingdom
Home Town Hero,United States
Tommy Sands,United States
Eberhard Weber,Germany
Double Image,United States
ZO2,United States
Ian Moore,United States
Faces,United Kingdom
Sonny Landreth,United Kingdom
Gabriela Anders,United States
Jim Chappell,United States
Orquesta Sublime,Cuba
Souls Of Mischief,United States
Richard Galliano,France
Joe Turner_ Joe Houston_ L. C. Williams,United States
Negura Bunget,Romania
Papa Wemba,Democratic Republic of the Congo
Evergreen Terrace,United States
Aftermath,Colombia
Philippe Sarde,France
Geddy Lee,Canada
Stickboy,United States
Rick Astley,United Kingdom
Ma Rainey,United States
ARRESTED DEVELOPMENT,United States
Eleanor McEvoy,Ireland
Helen Love,United Kingdom
Pelt,Jamaica
Workhorse,United States
Dhamika,Sweden
Nancy Walker,United States
The Who,United Kingdom
Epidemic,United Kingdom
Lesley Gore,United States
Baby Grand,United States
The Suicide Machines,United States
Elmer Bernstein,United States
Eddie Money,United States
Circular,Kingdom of Norway
HA-ASH,United States
Babe Ruth,United Kingdom
Ann Nesby,United States
Carman featuring Commissioned & The Christ Church Choir,United States
Lady GaGa,United States
Mighty Joe Young,United States
Vex'd,United Kingdom
Sylvia Tosun,United States
Cyril Pahinui,United States
Howie Day,United States
Cargo Cult,United Kingdom
NewFound Road,United States
Pee Wee King,United States
Barbara Lynn,United States
Faithless,United Kingdom
Dave And Ansel Collins,Jamaica
Jude Cole,United States
SWAMI featuring Asuivre,United Kingdom
The Merry Macs,United States
Adrienne Pierce,Canada
Oh No,United States
Tinariwen,Mali
Tanika Turner,United States
Nights Like These,United States
Jennifer Clarke,Ireland
Nestor Torres,United States
Dub Pistols feat. TK & JMS,United Kingdom
Malina,Italy
The Cliks,Canada
Lot Lorien,Bulgaria
Jennifer Brown,United States
Patrick Lamb,United States
Becky Baeling,United States
Patti Smith,United States
Molesta Ewenement,Poland
Hotwire,United States
Jean-michel Rotin,France
Jim Bryson,Canada
Pictures of Then,United States
Carl Belew,United States
Jenney,Sweden
Lockwood,United States
Ray Conniff,United States
Willie Clancy,Ireland
H-Town,United States
Kathleen Madigan,United States
Tom Cochrane,Canada
Miguel Migs,United States
John Sebastian,United Kingdom
The Ghost Of Lemora,United Kingdom
Avril Lavigne,Canada
Bill Perry,United States
Sandi Thom,United Kingdom
Floyd Cramer,Afghanistan
Our Time Down Here,United Kingdom
Kamelo Punto Semos,Spain
Sensations,United States
Gene Chandler,United States
Chatelaine,United Kingdom
Debra Laws,United States
Pat Travers,Canada
Metsatöll,Estonia
The Tall Grass,Canada
Tigertailz,United Kingdom
Poncho Sanchez,United States
Peppermint Creeps,United States
Ray Sandoval,United States
Venice,United States
Blessid Union Of Souls,United States
Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,United States
Cindy Morgan,United States
Bizzy Bone Presents,United States
Paul Carrack,United Kingdom
Dabbler,Canada
Jeckyll & Hyde,The Netherlands
Converge,United States
Perfection,Sweden
Marc Broussard,United States
Emperor,Kingdom of Norway
Royal S,Switzerland
Moist,Canada
Ed Ames,United States
Cliff Edwards/Disney Studio Chorus,Canada
Maurane / Lara Fabian,Belgium
Georgia Satellites,United States
Vincenzo Bellini,Italy
Albert Ayler,United States
Uman,Belgium
Kiril Valeri,Spain
Bessie Smith,United States
Cool cavemen,France
Louie Ramirez,United States
Zachary Richard,United States
Virus,United Kingdom
Byther Smith,United States
Jonn Serrie,United States
Gene Autry,United States
Carolyn Arends,Canada
Daniel Kobialka,United States
Steve Porter,United Kingdom
Stargarden,United States
Leaders Of The New School,United States
Los Muñequitos De Matanzas,United States
Shout Out Out Out Out,South Korea
Tito Rodriguez,Puerto Rico
Jars Of Clay,United States
Gruppo Jazz Marca,United Kingdom
Unkle Bob,United Kingdom
Cali,France
Justin,United States
The Cate Brothers,United States
Lee Michaels,United States
Enthroned,Belgium
Fontella Bass,United States
Ladybug,United States
The Family Stand,United States
SAF,Belgium
Big Mama Thornton with Kansas Bill and his Orchestra,United States
The Moody Blues,United Kingdom
Mindy McCready,United States
Paul Geremia,United States
Bill Cosby,United States
Dons,United States
Antigone Rising,United States
Herbst9_ Z'ev,Denmark
Warner mack,United States
Ideal,United States
Babylon Disco,Sweden
Elliot Goldenthal,United States
Jim Reeves,United States
Martriden,United States
Davol,United States
Taboo,South Africa
Rooney,United States
Delroy Wilson,Jamaica
